&3,,1,1,1,1,2
##no,,sepal length,sepal width,petal length,petal width,kind
$no,const,SepalL,SepalW,PetalL,PetalW,Species
1,1,5.1,3.5,1.4,0.2,setosa
2,1,4.9,3,1.4,0.2,setosa
3,1,4.7,3.2,1.3,0.2,setosa
4,1,4.6,3.1,1.5,0.2,setosa
5,1,5,3.6,1.4,0.2,setosa
6,1,5.4,3.9,1.7,0.4,setosa
7,1,4.6,3.4,1.4,0.3,setosa
8,1,5,3.4,1.5,0.2,setosa
9,1,4.4,2.9,1.4,0.2,setosa
10,1,4.9,3.1,1.5,0.1,setosa
11,1,5.4,3.7,1.5,0.2,setosa
12,1,4.8,3.4,1.6,0.2,setosa
13,1,4.8,3,1.4,0.1,setosa
14,1,4.3,3,1.1,0.1,setosa
15,1,5.8,4,1.2,0.2,setosa
16,1,5.7,4.4,1.5,0.4,setosa
17,1,5.4,3.9,1.3,0.4,setosa
18,1,5.1,3.5,1.4,0.3,setosa
19,1,5.7,3.8,1.7,0.3,setosa
20,1,5.1,3.8,1.5,0.3,setosa
21,1,5.4,3.4,1.7,0.2,setosa
22,1,5.1,3.7,1.5,0.4,setosa
23,1,4.6,3.6,1,0.2,setosa
24,1,5.1,3.3,1.7,0.5,setosa
25,1,4.8,3.4,1.9,0.2,setosa
26,1,5,3,1.6,0.2,setosa
27,1,5,3.4,1.6,0.4,setosa
28,1,5.2,3.5,1.5,0.2,setosa
29,1,5.2,3.4,1.4,0.2,setosa
30,1,4.7,3.2,1.6,0.2,setosa
31,1,4.8,3.1,1.6,0.2,setosa
32,1,5.4,3.4,1.5,0.4,setosa
33,1,5.2,4.1,1.5,0.1,setosa
34,1,5.5,4.2,1.4,0.2,setosa
35,1,4.9,3.1,1.5,0.2,setosa
36,1,5,3.2,1.2,0.2,setosa
37,1,5.5,3.5,1.3,0.2,setosa
38,1,4.9,3.6,1.4,0.1,setosa
39,1,4.4,3,1.3,0.2,setosa
40,1,5.1,3.4,1.5,0.2,setosa
41,1,5,3.5,1.3,0.3,setosa
42,1,4.5,2.3,1.3,0.3,setosa
43,1,4.4,3.2,1.3,0.2,setosa
44,1,5,3.5,1.6,0.6,setosa
45,1,5.1,3.8,1.9,0.4,setosa
46,1,4.8,3,1.4,0.3,setosa
47,1,5.1,3.8,1.6,0.2,setosa
48,1,4.6,3.2,1.4,0.2,setosa
49,1,5.3,3.7,1.5,0.2,setosa
50,1,5,3.3,1.4,0.2,setosa
51,1,7,3.2,4.7,1.4,versicolor
52,1,6.4,3.2,4.5,1.5,versicolor
53,1,6.9,3.1,4.9,1.5,versicolor
54,1,5.5,2.3,4,1.3,versicolor
55,1,6.5,2.8,4.6,1.5,versicolor
56,1,5.7,2.8,4.5,1.3,versicolor
57,1,6.3,3.3,4.7,1.6,versicolor
58,1,4.9,2.4,3.3,1,versicolor
59,1,6.6,2.9,4.6,1.3,versicolor
60,1,5.2,2.7,3.9,1.4,versicolor
61,1,5,2,3.5,1,versicolor
62,1,5.9,3,4.2,1.5,versicolor
63,1,6,2.2,4,1,versicolor
64,1,6.1,2.9,4.7,1.4,versicolor
65,1,5.6,2.9,3.6,1.3,versicolor
66,1,6.7,3.1,4.4,1.4,versicolor
67,1,5.6,3,4.5,1.5,versicolor
68,1,5.8,2.7,4.1,1,versicolor
69,1,6.2,2.2,4.5,1.5,versicolor
70,1,5.6,2.5,3.9,1.1,versicolor
71,1,5.9,3.2,4.8,1.8,versicolor
72,1,6.1,2.8,4,1.3,versicolor
73,1,6.3,2.5,4.9,1.5,versicolor
74,1,6.1,2.8,4.7,1.2,versicolor
75,1,6.4,2.9,4.3,1.3,versicolor
76,1,6.6,3,4.4,1.4,versicolor
77,1,6.8,2.8,4.8,1.4,versicolor
78,1,6.7,3,5,1.7,versicolor
79,1,6,2.9,4.5,1.5,versicolor
80,1,5.7,2.6,3.5,1,versicolor
81,1,5.5,2.4,3.8,1.1,versicolor
82,1,5.5,2.4,3.7,1,versicolor
83,1,5.8,2.7,3.9,1.2,versicolor
84,1,6,2.7,5.1,1.6,versicolor
85,1,5.4,3,4.5,1.5,versicolor
86,1,6,3.4,4.5,1.6,versicolor
87,1,6.7,3.1,4.7,1.5,versicolor
88,1,6.3,2.3,4.4,1.3,versicolor
89,1,5.6,3,4.1,1.3,versicolor
90,1,5.5,2.5,4,1.3,versicolor
91,1,5.5,2.6,4.4,1.2,versicolor
92,1,6.1,3,4.6,1.4,versicolor
93,1,5.8,2.6,4,1.2,versicolor
94,1,5,2.3,3.3,1,versicolor
95,1,5.6,2.7,4.2,1.3,versicolor
96,1,5.7,3,4.2,1.2,versicolor
97,1,5.7,2.9,4.2,1.3,versicolor
98,1,6.2,2.9,4.3,1.3,versicolor
99,1,5.1,2.5,3,1.1,versicolor
100,1,5.7,2.8,4.1,1.3,versicolor
101,1,6.3,3.3,6,2.5,virginica
102,1,5.8,2.7,5.1,1.9,virginica
103,1,7.1,3,5.9,2.1,virginica
104,1,6.3,2.9,5.6,1.8,virginica
105,1,6.5,3,5.8,2.2,virginica
106,1,7.6,3,6.6,2.1,virginica
107,1,4.9,2.5,4.5,1.7,virginica
108,1,7.3,2.9,6.3,1.8,virginica
109,1,6.7,2.5,5.8,1.8,virginica
110,1,7.2,3.6,6.1,2.5,virginica
111,1,6.5,3.2,5.1,2,virginica
112,1,6.4,2.7,5.3,1.9,virginica
113,1,6.8,3,5.5,2.1,virginica
114,1,5.7,2.5,5,2,virginica
115,1,5.8,2.8,5.1,2.4,virginica
116,1,6.4,3.2,5.3,2.3,virginica
117,1,6.5,3,5.5,1.8,virginica
118,1,7.7,3.8,6.7,2.2,virginica
119,1,7.7,2.6,6.9,2.3,virginica
120,1,6,2.2,5,1.5,virginica
121,1,6.9,3.2,5.7,2.3,virginica
122,1,5.6,2.8,4.9,2,virginica
123,1,7.7,2.8,6.7,2,virginica
124,1,6.3,2.7,4.9,1.8,virginica
125,1,6.7,3.3,5.7,2.1,virginica
126,1,7.2,3.2,6,1.8,virginica
127,1,6.2,2.8,4.8,1.8,virginica
128,1,6.1,3,4.9,1.8,virginica
129,1,6.4,2.8,5.6,2.1,virginica
130,1,7.2,3,5.8,1.6,virginica
131,1,7.4,2.8,6.1,1.9,virginica
132,1,7.9,3.8,6.4,2,virginica
133,1,6.4,2.8,5.6,2.2,virginica
134,1,6.3,2.8,5.1,1.5,virginica
135,1,6.1,2.6,5.6,1.4,virginica
136,1,7.7,3,6.1,2.3,virginica
137,1,6.3,3.4,5.6,2.4,virginica
138,1,6.4,3.1,5.5,1.8,virginica
139,1,6,3,4.8,1.8,virginica
140,1,6.9,3.1,5.4,2.1,virginica
141,1,6.7,3.1,5.6,2.4,virginica
142,1,6.9,3.1,5.1,2.3,virginica
143,1,5.8,2.7,5.1,1.9,virginica
144,1,6.8,3.2,5.9,2.3,virginica
145,1,6.7,3.3,5.7,2.5,virginica
146,1,6.7,3,5.2,2.3,virginica
147,1,6.3,2.5,5,1.9,virginica
148,1,6.5,3,5.2,2,virginica
149,1,6.2,3.4,5.4,2.3,virginica
150,1,5.9,3,5.1,1.8,virginica
